,serum,virus,replicate,concentration,fraction infectivity
0,M03-day-119,wildtype,1,0.04,-6.798e-06
1,M03-day-119,wildtype,1,0.01333,0.004015
2,M03-day-119,wildtype,1,0.004444,0.05302
3,M03-day-119,wildtype,1,0.001481,0.2166
4,M03-day-119,wildtype,1,0.0004938,0.523
5,M03-day-119,wildtype,1,0.0001646,0.7756
6,M03-day-119,wildtype,1,5.487e-05,0.8687
7,M03-day-119,wildtype,1,1.829e-05,0.8987
8,M03-day-119,wildtype,2,0.04,-6.798e-06
9,M03-day-119,wildtype,2,0.01333,-6.904e-06
10,M03-day-119,wildtype,2,0.004444,0.07826
11,M03-day-119,wildtype,2,0.001481,0.2842
12,M03-day-119,wildtype,2,0.0004938,0.5982
13,M03-day-119,wildtype,2,0.0001646,0.7974
14,M03-day-119,wildtype,2,5.487e-05,0.9575
15,M03-day-119,wildtype,2,1.829e-05,1.026
16,M05-day-119,wildtype,1,0.04,-1.02e-05
17,M05-day-119,wildtype,1,0.01333,0.004564
18,M05-day-119,wildtype,1,0.004444,0.02752
19,M05-day-119,wildtype,1,0.001481,0.2316
20,M05-day-119,wildtype,1,0.0004938,0.6166
21,M05-day-119,wildtype,1,0.0001646,0.8294
22,M05-day-119,wildtype,1,5.487e-05,0.7928
23,M05-day-119,wildtype,1,1.829e-05,0.9298
24,M05-day-119,wildtype,2,0.04,1.7e-06
25,M05-day-119,wildtype,2,0.01333,-8.63e-06
26,M05-day-119,wildtype,2,0.004444,0.03974
27,M05-day-119,wildtype,2,0.001481,0.2252
28,M05-day-119,wildtype,2,0.0004938,0.533
29,M05-day-119,wildtype,2,0.0001646,0.8669
30,M05-day-119,wildtype,2,5.487e-05,0.785
31,M05-day-119,wildtype,2,1.829e-05,0.9531
32,M06-day-119,wildtype,1,0.04,8.498e-06
33,M06-day-119,wildtype,1,0.01333,0.00493
34,M06-day-119,wildtype,1,0.004444,0.07049
35,M06-day-119,wildtype,1,0.001481,0.3921
36,M06-day-119,wildtype,1,0.0004938,0.5821
37,M06-day-119,wildtype,1,0.0001646,0.74
38,M06-day-119,wildtype,1,5.487e-05,0.8804
39,M06-day-119,wildtype,1,1.829e-05,1.116
40,M06-day-119,wildtype,2,0.04,1.7e-06
41,M06-day-119,wildtype,2,0.01333,0.006169
42,M06-day-119,wildtype,2,0.004444,0.07893
43,M06-day-119,wildtype,2,0.001481,0.33
44,M06-day-119,wildtype,2,0.0004938,0.6228
45,M06-day-119,wildtype,2,0.0001646,0.7152
46,M06-day-119,wildtype,2,5.487e-05,0.8071
47,M06-day-119,wildtype,2,1.829e-05,1.126
48,M11-day-119,wildtype,1,0.04,-1.19e-05
49,M11-day-119,wildtype,1,0.01333,-6.904e-06
50,M11-day-119,wildtype,1,0.004444,0.0121
51,M11-day-119,wildtype,1,0.001481,0.2776
52,M11-day-119,wildtype,1,0.0004938,0.437
53,M11-day-119,wildtype,1,0.0001646,0.9004
54,M11-day-119,wildtype,1,5.487e-05,0.7427
55,M11-day-119,wildtype,1,1.829e-05,0.974
56,M11-day-119,wildtype,2,0.04,-6.798e-06
57,M11-day-119,wildtype,2,0.01333,0.002378
58,M11-day-119,wildtype,2,0.004444,0.03627
59,M11-day-119,wildtype,2,0.001481,0.2293
60,M11-day-119,wildtype,2,0.0004938,0.5552
61,M11-day-119,wildtype,2,0.0001646,0.8928
62,M11-day-119,wildtype,2,5.487e-05,0.8955
63,M11-day-119,wildtype,2,1.829e-05,1.011
64,M12-day-119,wildtype,1,0.04,-6.022e-06
65,M12-day-119,wildtype,1,0.01333,1.094e-06
66,M12-day-119,wildtype,1,0.004444,0.02747
67,M12-day-119,wildtype,1,0.001481,0.1717
68,M12-day-119,wildtype,1,0.0004938,0.5354
69,M12-day-119,wildtype,1,0.0001646,0.8159
70,M12-day-119,wildtype,1,5.487e-05,0.9443
71,M12-day-119,wildtype,1,1.829e-05,1.105
72,M12-day-119,wildtype,2,0.04,-1.316e-05
73,M12-day-119,wildtype,2,0.01333,6.345e-06
74,M12-day-119,wildtype,2,0.004444,0.05171
75,M12-day-119,wildtype,2,0.001481,0.1759
76,M12-day-119,wildtype,2,0.0004938,0.565
77,M12-day-119,wildtype,2,0.0001646,0.6919
78,M12-day-119,wildtype,2,5.487e-05,0.9072
79,M12-day-119,wildtype,2,1.829e-05,1.047
80,M14-day-119,wildtype,1,0.04,-6.691e-07
81,M14-day-119,wildtype,1,0.01333,-7.657e-06
82,M14-day-119,wildtype,1,0.004444,0.004321
83,M14-day-119,wildtype,1,0.001481,0.1203
84,M14-day-119,wildtype,1,0.0004938,0.4375
85,M14-day-119,wildtype,1,0.0001646,0.842
86,M14-day-119,wildtype,1,5.487e-05,0.8609
87,M14-day-119,wildtype,1,1.829e-05,1.096
88,M14-day-119,wildtype,2,0.04,-7.806e-06
89,M14-day-119,wildtype,2,0.01333,-5.907e-06
90,M14-day-119,wildtype,2,0.004444,0.003866
91,M14-day-119,wildtype,2,0.001481,0.08929
92,M14-day-119,wildtype,2,0.0004938,0.4957
93,M14-day-119,wildtype,2,0.0001646,0.5879
94,M14-day-119,wildtype,2,5.487e-05,0.8634
95,M14-day-119,wildtype,2,1.829e-05,0.9303
96,23_d120,wildtype,1,0.04,4.683e-06
97,23_d120,wildtype,1,0.01333,0.01146
98,23_d120,wildtype,1,0.004444,0.05363
99,23_d120,wildtype,1,0.001481,0.3864
100,23_d120,wildtype,1,0.0004938,0.6546
101,23_d120,wildtype,1,0.0001646,0.7689
102,23_d120,wildtype,1,5.487e-05,0.9368
103,23_d120,wildtype,1,1.829e-05,0.8964
104,23_d120,wildtype,2,0.04,-6.022e-06
105,23_d120,wildtype,2,0.01333,0.01745
106,23_d120,wildtype,2,0.004444,0.06934
107,23_d120,wildtype,2,0.001481,0.3565
108,23_d120,wildtype,2,0.0004938,0.6504
109,23_d120,wildtype,2,0.0001646,0.7529
110,23_d120,wildtype,2,5.487e-05,0.7621
111,23_d120,wildtype,2,1.829e-05,1.112
112,1C_d113,wildtype,1,0.04,0.004226
113,1C_d113,wildtype,1,0.01333,0.07757
114,1C_d113,wildtype,1,0.004444,0.3626
115,1C_d113,wildtype,1,0.001481,0.6307
116,1C_d113,wildtype,1,0.0004938,0.8353
117,1C_d113,wildtype,1,0.0001646,0.9059
118,1C_d113,wildtype,1,5.487e-05,1.075
119,1C_d113,wildtype,1,1.829e-05,1.007
120,1C_d113,wildtype,2,0.04,0.00737
121,1C_d113,wildtype,2,0.01333,0.05149
122,1C_d113,wildtype,2,0.004444,0.3469
123,1C_d113,wildtype,2,0.001481,0.6919
124,1C_d113,wildtype,2,0.0004938,1.005
125,1C_d113,wildtype,2,0.0001646,0.9376
126,1C_d113,wildtype,2,5.487e-05,0.8988
127,1C_d113,wildtype,2,1.829e-05,1.056
128,M03-day-119,E484K,1,0.04,-3.825e-05
129,M03-day-119,E484K,1,0.01333,4.209e-05
130,M03-day-119,E484K,1,0.004444,0.0016
131,M03-day-119,E484K,1,0.001481,0.301
132,M03-day-119,E484K,1,0.0004938,0.5996
133,M03-day-119,E484K,1,0.0001646,0.477
134,M03-day-119,E484K,1,5.487e-05,1.323
135,M03-day-119,E484K,1,1.829e-05,1.042
136,M03-day-119,E484K,2,0.04,-7.998e-05
137,M03-day-119,E484K,2,0.01333,6.08e-05
138,M03-day-119,E484K,2,0.004444,0.04341
