date,experiment,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
210622,bg4e_6-9,lib1,none,0,ref,reference,bg4e_6-9-none-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/210628_D00300_1269_BHM53TBCX3/Unaligned/Project_agreaney/bg4e_6-9_lib1_ref*R1*.fastq.gz
210622,bg4e_6-9,lib2,none,0,ref,reference,bg4e_6-9-none-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/210628_D00300_1269_BHM53TBCX3/Unaligned/Project_agreaney/bg4e_6-9_lib2_ref*R1*.fastq.gz
210622,bg4e_8,lib1,K115_old,80,abneg,escape,bg4e_8-K115_old-80-abneg,ab_selection,604025,0.036,/shared/ngs/illumina/agreaney/210628_D00300_1269_BHM53TBCX3/Unaligned/Project_agreaney/bg4e_8_lib1_abneg*R1*.fastq.gz
210622,bg4e_8,lib2,K115_old,80,abneg,escape,bg4e_8-K115_old-80-abneg,ab_selection,566545,0.034,/shared/ngs/illumina/agreaney/210628_D00300_1269_BHM53TBCX3/Unaligned/Project_agreaney/bg4e_8_lib2_abneg*R1*.fastq.gz
210702,bg4e_10,lib1,K007,500,abneg,escape,bg4e_10-K007-500-abneg,ab_selection,510107,0.038,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_10_lib1_abneg*R1*.fastq.gz
210702,bg4e_10,lib2,K007,500,abneg,escape,bg4e_10-K007-500-abneg,ab_selection,494538,0.033,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_10_lib2_abneg*R1*.fastq.gz
210702,bg4e_11,lib1,K031,500,abneg,escape,bg4e_11-K031-500-abneg,ab_selection,730562,0.072,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_11_lib1_abneg*R1*.fastq.gz
210702,bg4e_11,lib2,K031,500,abneg,escape,bg4e_11-K031-500-abneg,ab_selection,712255,0.069,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_11_lib2_abneg*R1*.fastq.gz
210702,bg4e_12,lib1,K033,500,abneg,escape,bg4e_12-K033-500-abneg,ab_selection,802239,0.077,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_12_lib1_abneg*R1*.fastq.gz
210702,bg4e_12,lib2,K033,500,abneg,escape,bg4e_12-K033-500-abneg,ab_selection,773070,0.074,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_12_lib2_abneg*R1*.fastq.gz
210702,bg4e_13,lib1,K040,500,abneg,escape,bg4e_13-K040-500-abneg,ab_selection,687119,0.064,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_13_lib1_abneg*R1*.fastq.gz
210702,bg4e_13,lib2,K040,500,abneg,escape,bg4e_13-K040-500-abneg,ab_selection,679198,0.062,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_13_lib2_abneg*R1*.fastq.gz
210702,bg4e_14,lib1,K041,500,abneg,escape,bg4e_14-K041-500-abneg,ab_selection,601747,0.055,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_14_lib1_abneg*R1*.fastq.gz
210702,bg4e_14,lib2,K041,500,abneg,escape,bg4e_14-K041-500-abneg,ab_selection,601730,0.052,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_14_lib2_abneg*R1*.fastq.gz
210702,bg4e_10-14,lib1,reference,0,ref,reference,bg4e_10-14-reference-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_10-14_lib1_ref*R1*.fastq.gz
210702,bg4e_10-14,lib2,reference,0,ref,reference,bg4e_10-14-reference-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/210702_D00300_1273_AHM3WGBCX3/Unaligned/Project_agreaney/bg4e_10-14_lib2_ref*R1*.fastq.gz
210707,bg4e_15-18,lib1,reference,0,ref,reference,bg4e_15-18-reference-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4_e15-18_lib1_ref*R1*.fastq.gz
210707,bg4e_15-18,lib2,reference,0,ref,reference,bg4e_15-18-reference-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4_e15-18_lib2_ref*R1*.fastq.gz
210707,bg4e_15,lib1,K046,200,abneg,escape,bg4e_15-K046-200-abneg,ab_selection,561168,0.048,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_15_lib1_abneg*R1*.fastq.gz
210707,bg4e_15,lib2,K046,200,abneg,escape,bg4e_15-K046-200-abneg,ab_selection,419123,0.041,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_15_lib2_abneg*R1*.fastq.gz
210707,bg4e_16,lib1,K114,200,abneg,escape,bg4e_16-K114-200-abneg,ab_selection,638716,0.053,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_16_lib1_abneg*R1*.fastq.gz
210707,bg4e_16,lib2,K114,200,abneg,escape,bg4e_16-K114-200-abneg,ab_selection,542375,0.047,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_16_lib2_abneg*R1*.fastq.gz
210707,bg4e_17,lib1,K115,80,abneg,escape,bg4e_17-K115-80-abneg,ab_selection,1669109,0.165,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_17_lib1_abneg*R1*.fastq.gz
210707,bg4e_17,lib2,K115,80,abneg,escape,bg4e_17-K115-80-abneg,ab_selection,1982477,0.137,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_17_lib2_abneg*R1*.fastq.gz
210707,bg4e_18,lib1,K119,200,abneg,escape,bg4e_18-K119-200-abneg,ab_selection,548265,0.041,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_18_lib1_abneg*R1*.fastq.gz
210707,bg4e_18,lib2,K119,200,abneg,escape,bg4e_18-K119-200-abneg,ab_selection,630199,0.047,/shared/ngs/illumina/agreaney/210712_D00300_1281_AHM3WCBCX3/Unaligned/Project_agreaney/bg4e_18_lib2_abneg*R1*.fastq.gz
