serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,dilution_factor,OD450,dilution,depleted_date
K006,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,0.047600009000000006,0.01,mock_210512
K007,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.3867000419999997,0.01,mock_210512
K031,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.395699941,0.01,mock_210512
K033,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.6637000810000004,0.01,mock_210512
K040,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.7837000339999998,0.01,mock_210512
K041,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.6553999630000003,0.01,mock_210512
K046,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.691100068,0.01,mock_210512
K114,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.922399998,0.01,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,0.050700000999999995,0.01,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,2.935599957,0.01,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,2.525100082,0.01,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,2.9676998930000003,0.01,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.099400003,0.01,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.320899919,0.01,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.238699988,0.01,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.685399905,0.01,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,2.449800029,0.01,mock_210512
K116,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,1.25190001,0.01,mock_210512
K119,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.335399963,0.01,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,,0.01,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,1.532499969,0.01,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,0.793700017,0.01,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,3.206100114,0.01,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,100,,0.01,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,-0.013700001000000002,0.0033333333333333335,mock_210512
K007,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,2.8003000019999997,0.0033333333333333335,mock_210512
K031,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,3.119900025,0.0033333333333333335,mock_210512
K033,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,3.256000012,0.0033333333333333335,mock_210512
K040,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,3.374800086,0.0033333333333333335,mock_210512
K041,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,3.0988000110000002,0.0033333333333333335,mock_210512
K046,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,3.0491000489999998,0.0033333333333333335,mock_210512
K114,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,2.949000046,0.0033333333333333335,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.0038999990000000003,0.0033333333333333335,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.23250000899999998,0.0033333333333333335,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.64670001,0.0033333333333333335,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,1.289499998,0.0033333333333333335,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,1.736499995,0.0033333333333333335,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.887799986,0.0033333333333333335,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.47080001200000005,0.0033333333333333335,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.5193999779999999,0.0033333333333333335,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,1.653499953,0.0033333333333333335,mock_210512
K116,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.286600009,0.0033333333333333335,mock_210512
K119,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,3.0497998889999995,0.0033333333333333335,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,,0.0033333333333333335,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.023800001,0.0033333333333333335,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.0123,0.0033333333333333335,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,0.478500009,0.0033333333333333335,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,300,,0.0033333333333333335,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,-0.00010000200000000001,0.0033333333333333335,mock_210512
K007,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.9489001110000004,0.0033333333333333335,mock_210512
K031,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.0692998989999998,0.0033333333333333335,mock_210512
K033,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.3324999589999997,0.0033333333333333335,mock_210512
K040,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.448200032,0.0033333333333333335,mock_210512
K041,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.421499893,0.0033333333333333335,mock_210512
K046,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.1939999539999997,0.0033333333333333335,mock_210512
K114,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.601900101,0.0033333333333333335,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,0.012999997,0.0033333333333333335,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.2764999009999998,0.0033333333333333335,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.216499895,0.0033333333333333335,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.514099963,0.0033333333333333335,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.928800065,0.0033333333333333335,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.934800103,0.0033333333333333335,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.362999991,0.0033333333333333335,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.185599938,0.0033333333333333335,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,1.403599992,0.0033333333333333335,mock_210512
K116,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,0.563199989,0.0033333333333333335,mock_210512
K119,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,3.037799932,0.0033333333333333335,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,,0.0033333333333333335,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,0.695100009,0.0033333333333333335,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,0.322200008,0.0033333333333333335,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,2.6752001119999997,0.0033333333333333335,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,300,,0.0033333333333333335,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,-0.022000000000000002,0.0011111111111111111,mock_210512
K007,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,2.16200006,0.0011111111111111111,mock_210512
K031,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,2.385599889,0.0011111111111111111,mock_210512
K033,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,3.00060007,0.0011111111111111111,mock_210512
K040,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,2.9283000230000003,0.0011111111111111111,mock_210512
K041,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,2.5997000409999997,0.0011111111111111111,mock_210512
K046,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,2.520899899,0.0011111111111111111,mock_210512
K114,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,1.8751999590000001,0.0011111111111111111,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,-0.0027000009999999996,0.0011111111111111111,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.101200007,0.0011111111111111111,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.202999994,0.0011111111111111111,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.594500005,0.0011111111111111111,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.841100007,0.0011111111111111111,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.469100006,0.0011111111111111111,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.222499996,0.0011111111111111111,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.205300011,0.0011111111111111111,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.7402999920000001,0.0011111111111111111,mock_210512
K116,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.109999999,0.0011111111111111111,mock_210512
K119,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,2.204600066,0.0011111111111111111,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,,0.0011111111111111111,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.001699999,0.0011111111111111111,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.000399999,0.0011111111111111111,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,0.238700002,0.0011111111111111111,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,900,,0.0011111111111111111,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,-0.015699998,0.0011111111111111111,mock_210512
K007,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.4201001,0.0011111111111111111,mock_210512
K031,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.25979992,0.0011111111111111111,mock_210512
K033,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.7943999539999997,0.0011111111111111111,mock_210512
K040,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.908299968,0.0011111111111111111,mock_210512
K041,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.7517999860000004,0.0011111111111111111,mock_210512
K046,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.445899911,0.0011111111111111111,mock_210512
K114,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.8336000439999998,0.0011111111111111111,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,-0.000600003,0.0011111111111111111,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,1.547400031,0.0011111111111111111,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,1.193000048,0.0011111111111111111,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,1.850100048,0.0011111111111111111,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,1.919599969,0.0011111111111111111,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.1349999459999998,0.0011111111111111111,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,1.6581999809999999,0.0011111111111111111,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.577999964,0.0011111111111111111,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,0.615099981,0.0011111111111111111,mock_210512
K116,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,0.21470000600000003,0.0011111111111111111,mock_210512
K119,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,2.12340007,0.0011111111111111111,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,,0.0011111111111111111,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,0.261700004,0.0011111111111111111,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,0.12560000300000002,0.0011111111111111111,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,1.721300013,0.0011111111111111111,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,900,,0.0011111111111111111,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,-0.0273,0.00037037037037037035,mock_210512
K007,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,1.215000033,0.00037037037037037035,mock_210512
K031,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,1.579999961,0.00037037037037037035,mock_210512
K033,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,2.3636998830000002,0.00037037037037037035,mock_210512
K040,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,2.289399981,0.00037037037037037035,mock_210512
K041,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,1.8246000480000002,0.00037037037037037035,mock_210512
K046,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,1.304000027,0.00037037037037037035,mock_210512
K114,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.895000026,0.00037037037037037035,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,-0.000700004,0.00037037037037037035,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.039999999,0.00037037037037037035,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.070099995,0.00037037037037037035,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.224799991,0.00037037037037037035,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.346100003,0.00037037037037037035,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.145499997,0.00037037037037037035,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.070299998,0.00037037037037037035,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.058800004,0.00037037037037037035,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.266600005,0.00037037037037037035,mock_210512
K116,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.036899998999999996,0.00037037037037037035,mock_210512
K119,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,1.4578000009999998,0.00037037037037037035,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,,0.00037037037037037035,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,-0.006299995,0.00037037037037037035,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,-0.0101,0.00037037037037037035,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,0.053900002999999995,0.00037037037037037035,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,2700,,0.00037037037037037035,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,-0.0207,0.00037037037037037035,mock_210512
K007,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.548599966,0.00037037037037037035,mock_210512
K031,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.483200036,0.00037037037037037035,mock_210512
K033,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,2.163700081,0.00037037037037037035,mock_210512
K040,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,2.101500079,0.00037037037037037035,mock_210512
K041,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.965599939,0.00037037037037037035,mock_210512
K046,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.396799989,0.00037037037037037035,mock_210512
K114,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.7651000019999998,0.00037037037037037035,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,-0.0031,0.00037037037037037035,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.8141000009999999,0.00037037037037037035,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.576599985,0.00037037037037037035,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.107399948,0.00037037037037037035,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.116200048,0.00037037037037037035,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.107600048,0.00037037037037037035,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.857100025,0.00037037037037037035,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.6084000019999998,0.00037037037037037035,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.232000008,0.00037037037037037035,mock_210512
K116,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.084400006,0.00037037037037037035,mock_210512
K119,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,1.361999966,0.00037037037037037035,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,,0.00037037037037037035,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.076700002,0.00037037037037037035,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.027300007999999997,0.00037037037037037035,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,0.798699982,0.00037037037037037035,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"IPD B.1.351
spike",210512,2700,,0.00037037037037037035,2x 2:1 depleted_210512
K006,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,-0.029100001,0.0001234567901234568,mock_210512
K007,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.487399995,0.0001234567901234568,mock_210512
K031,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.641400017,0.0001234567901234568,mock_210512
K033,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,1.344500035,0.0001234567901234568,mock_210512
K040,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,1.282400012,0.0001234567901234568,mock_210512
K041,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.750800021,0.0001234567901234568,mock_210512
K046,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.529500015,0.0001234567901234568,mock_210512
K114,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.323699996,0.0001234567901234568,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.052599995999999996,0.0001234567901234568,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.033399999,0.0001234567901234568,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.033999994,0.0001234567901234568,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,8100,0.090300009,0.0001234567901234568,2x 2:1 depleted_210512
