serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,dilution_factor,OD450,dilution,depleted_date
K006,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.028100006,0.01,mock_210512
K007,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.254299998,0.01,mock_210512
K031,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.450000085,0.01,mock_210512
K033,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.523200005,0.01,mock_210512
K040,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.648399949,0.01,mock_210512
K041,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.383299895,0.01,mock_210512
K046,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.470699914,0.01,mock_210512
K114,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.264799997,0.01,mock_210512
K006,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.038800001,0.01,2x 2:1 depleted_210512
K007,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.582799993,0.01,2x 2:1 depleted_210512
K031,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,1.0956000540000002,0.01,2x 2:1 depleted_210512
K033,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,2.069899917,0.01,2x 2:1 depleted_210512
K040,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,2.280899972,0.01,2x 2:1 depleted_210512
K041,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,1.8788999990000002,0.01,2x 2:1 depleted_210512
K046,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,1.1218999920000001,0.01,2x 2:1 depleted_210512
K114,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,1.082999982,0.01,2x 2:1 depleted_210512
K115,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,2.70639991,0.01,mock_210512
K116,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.806699976,0.01,mock_210512
K119,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,3.494699925,0.01,mock_210512
REGN10987,mock,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,,0.01,mock_210512
K115,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.081299998,0.01,2x 2:1 depleted_210512
K116,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.054800004000000006,0.01,2x 2:1 depleted_210512
K119,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,0.975600004,0.01,2x 2:1 depleted_210512
REGN10987,2x 2:1 depleted,2x 2:1 beads,100ug,"Acro B.1.351
RBD",210512,100,,0.01,2x 2:1 depleted_210512
