serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,100,300,900,2700,8100
CR3022,mock 1:1,1to1,none,B.1.351 RBD,210415,3.412050057,3.210850049,2.91774993,2.538749982,1.424150039
CR3022,10 ug/mg beads 1:1,1to1,10 ug/mg beads,B.1.351 RBD,210415,3.274800008,2.879800027,2.226799911,2.169399923,1.043799942
CR3022,50 ug/mg beads1:1,1to1,50 ug/mg beads,B.1.351 RBD,210415,2.766550049,2.827450022,2.192450032,2.001250014,1.001749977
CR3022,100 ug/mg beads1:1,1to1,100 ug/mg beads,B.1.351 RBD,210415,3.478550047,3.578450054,2.84675011,2.003650039,1.154849976
CR3022,200 ug/mg beads1:1,1to1,200 ug/mg beads,B.1.351 RBD,210415,3.371099943,3.158999914,2.786000008,2.101200098,1.126700038
REGN10987,mock 1:1,1to1,none,B.1.351 RBD,210415,2.813849974,2.671350051,2.53184991,2.159149934,1.145149995
REGN10987,10 ug/mg beads 1:1,1to1,10 ug/mg beads,B.1.351 RBD,210415,2.85489996,2.880100088,2.509399967,1.94590004,1.047300057
REGN10987,50 ug/mg beads 1:1,1to1,50 ug/mg beads,B.1.351 RBD,210415,2.758549932,2.821449999,2.47554994,1.967849974,1.061450008
CR3022,mock 2:1,2to1,none,B.1.351 RBD,210415,3.475750018,3.210150052,3.140950013,2.634150077,1.623349953
CR3022,10 ug/mg beads 2:1,2to1,10 ug/mg beads,B.1.351 RBD,210415,2.97530002,2.810300058,2.348999923,1.980299896,1.081000036
CR3022,50 ug/mg beads 2:1,2to1,50 ug/mg beads,B.1.351 RBD,210415,3.252049908,2.850650057,2.675050005,1.915950045,1.120249972
CR3022,100 ug/mg beads 2:1,2to1,100 ug/mg beads,B.1.351 RBD,210415,3.701850027,3.526450008,3.001350015,2.003150076,0.979449958
CR3022,200 ug/mg beads 2:1,2to1,200 ug/mg beads,B.1.351 RBD,210415,3.572400087,3.459799999,2.877199883,2.03410005,1.14880001
REGN10987,100 ug/mg beads 1:1,1to1,100 ug/mg beads,B.1.351 RBD,210415,2.910749961,2.801450063,2.530750085,1.983749915,1.084950019
REGN10987,200 ug/mg beads 1:1,1to1,200 ug/mg beads,B.1.351 RBD,210415,2.926199989,2.741499977,2.402099924,1.862299995,1.131599979
REGN10987,mock 2:1,2to1,none,B.1.351 RBD,210415,3.160599917,2.979999989,2.891000003,2.479599923,1.931899995
pre-pandemic,mock 1:1,1to1,none,B.1.351 RBD,210415,0.033400007,0.0057,-0.010200001,-0.007399999,0.023500003
pre-pandemic,200 ug/mg beads 1:1,1to1,200 ug/mg beads,B.1.351 RBD,210415,0.019500002,-0.001100004,-0.013700001,0.002800003,0.0079
REGN10987,10 ug/mg beads 2:1,2to1,10 ug/mg beads,B.1.351 RBD,210415,2.848199956,3.0495001,2.776899926,1.839400046,1.095299952
REGN10987,50 ug/mg beads 2:1,2to1,50 ug/mg beads,B.1.351 RBD,210415,2.760000058,2.867899962,2.567200013,1.804300018,1.012700029
REGN10987,100 ug/mg beads 2:1,2to1,100 ug/mg beads,B.1.351 RBD,210415,2.656200111,2.780899942,2.580000103,1.798700035,0.836499989
REGN10987,200 ug/mg beads 2:1,2to1,200 ug/mg beads,B.1.351 RBD,210415,3.055100009,2.989899918,2.677399918,1.821499988,0.95100002
