serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,100,300,900,2700,8100
CR3022,no_beads,2to1,100ug,RBD,210507,3.912699997,3.912699997,3.667300045,3.209699929,1.985600054
CR3022,Acro_beads,2to1,100ug,RBD,210507,0.254000008,0.083199993,0.019899994,-0.006700002,-0.016200002
CR3022,Rachel_beads,2to1,100ug,RBD,210507,1.12560004,0.448700011,0.1303,0.031200007,-0.008699998
REGN10987,no_beads,2to1,100ug,RBD,210507,3.615599982,3.560099952,3.16119992,2.398700111,1.593700044
REGN10987,Acro_beads,2to1,100ug,RBD,210507,0.120500006,0.042400002,0.009900004,-0.005899996,-0.013099998
REGN10987,Rachel_beads,2to1,100ug,RBD,210507,0.167000011,0.052699998,0.011,-0.003700003,-0.018200003
pre-pandemic,no_beads,2to1,100ug,RBD,210507,0.121099994,0.0251,0.019899994,0.012199998,0.009599999
pre-pandemic,Acro_beads,2to1,100ug,RBD,210507,0.042099997,0.011799999,0.002499998,-0.004800003,0.000199996
pre-pandemic,Rachel_beads,2to1,100ug,RBD,210507,0.055300005,0.015799999,0.004100002,0.0053,-0.007099997
CR3022,no_beads,2to1,100ug,spike,210507,2.785499878,2.665000029,1.973199911,1.222699948,0.612100013
CR3022,Acro_beads,2to1,100ug,spike,210507,0.147099994,0.063200004,0.056000002,0.023800001,0.011600003
CR3022,Rachel_beads,2to1,100ug,spike,210507,0.395100012,0.160700008,0.017099991,0.008699998,-0.038300008
REGN10987,no_beads,2to1,100ug,spike,210507,3.170799971,3.201299906,2.456399918,2.219599962,1.441300035
REGN10987,Acro_beads,2to1,100ug,spike,210507,0.119000003,0.043599993,-0.009900004,-0.024900004,-0.021200001
REGN10987,Rachel_beads,2to1,100ug,spike,210507,0.179800019,0.050100014,0.011400014,-0.028699994,-0.016199991
pre-pandemic,no_beads,2to1,100ug,spike,210507,0.119000003,0.031299993,-0.002399996,0.006300002,-0.003399998
pre-pandemic,Acro_beads,2to1,100ug,spike,210507,0.070799999,0.013999999,0.0009,-0.013000004,-0.004000001
pre-pandemic,Rachel_beads,2to1,100ug,spike,210507,0.034300007,-1.00E-04,-0.016399994,-0.009899996,-0.001899995
