serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,100,300,900,2700,8100,200,600,1800,5400,16200
K040,2x 2:1 depleted,2to1,100ug,spike,210512,3.099400003,2.928800065,1.919599969,1.116200048,0.480799992,,,,,
K041,2x 2:1 depleted,2to1,100ug,spike,210512,3.320899919,2.934800103,2.134999946,1.107600048,0.474500015,,,,,
K046,2x 2:1 depleted,2to1,100ug,spike,210512,3.238699988,2.362999991,1.658199981,0.857100025,0.365899995,,,,,
K114,2x 2:1 depleted,2to1,100ug,spike,210512,3.685399905,3.185599938,2.577999964,1.608400002,0.640000001,,,,,
K115,mock,2to1,100ug,spike,210512,2.449800029,1.403599992,0.615099981,0.232000008,0.090499997,,,,,
K116,mock,2to1,100ug,spike,210512,1.25190001,0.563199989,0.214700006,0.084400006,0.022500001,,,,,
K119,mock,2to1,100ug,spike,210512,3.335399963,3.037799932,2.12340007,1.361999966,0.581100024,,,,,
REGN10987,mock,2to1,100ug,spike,210512,,,,,,2.862100065,2.819699943,2.455700099,1.667699993,0.848399997
K115,2x 2:1 depleted,2to1,100ug,spike,210512,1.532499969,0.695100009,0.261700004,0.076700002,0.008299999,,,,,
K116,2x 2:1 depleted,2to1,100ug,spike,210512,0.793700017,0.322200008,0.125600003,0.027300008,-0.005099997,,,,,
K119,2x 2:1 depleted,2to1,100ug,spike,210512,3.206100114,2.675200112,1.721300013,0.798699982,0.305100001,,,,,
REGN10987,2x 2:1 depleted,2to1,100ug,spike,210512,,,,,,0.108299993,0.044799991,0.015499994,-0.000300005,-0.013900004
