serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,100,300,900,2700,8100
K007,mock,3to1,100ug,RBD,210513,3.870000005,3.123000026,2.381800056,1.682100058,0.787800014
K031,mock,3to1,100ug,RBD,210513,3.625899963,3.078200035,2.679200105,1.802099995,0.795199983
K033,mock,3to1,100ug,RBD,210513,3.582000099,3.638300024,3.16360005,2.505699955,1.693999968
K040,mock,3to1,100ug,RBD,210513,3.662099913,3.366200045,3.086099938,2.522899941,1.265500024
K041,mock,3to1,100ug,RBD,210513,3.860300019,3.302600101,2.644600108,1.832500055,0.939899996
K046,mock,3to1,100ug,RBD,210513,3.384500027,3.034699917,2.348400116,1.472000003,0.574699998
K114,mock,3to1,100ug,RBD,210513,3.216799997,2.792200111,1.915999912,0.958799981,0.323299997
K119,mock,3to1,100ug,RBD,210513,3.255499884,2.555199906,1.798600003,1.074299976,0.421800002
K007,3x depleted,3to1,100ug,RBD,210513,0.459700014,0.203900006,0.107299995,0.0381,0.071600001
K031,3x depleted,3to1,100ug,RBD,210513,0.788799986,0.302000001,0.175799996,0.044399999,0.027499996
K033,3x depleted,3to1,100ug,RBD,210513,1.376599986,0.747299988,0.29790001,0.093400005,0.057600003
K040,3x depleted,3to1,100ug,RBD,210513,2.005799886,1.284100052,0.597199973,0.275999989,0.114700001
K041,3x depleted,3to1,100ug,RBD,210513,1.02230005,0.525300011,0.23650001,0.086099997,0.077600002
K046,3x depleted,3to1,100ug,RBD,210513,0.511800021,0.267100006,0.113399997,0.041000001,0.070299998
K114,3x depleted,3to1,100ug,RBD,210513,0.452699982,0.240000002,0.088000007,0.035400003,0.089400001
K119,3x depleted,3to1,100ug,RBD,210513,0.585599978,0.300400008,0.150600005,0.0746,0.126199994
K007,mock,3to1,100ug,spike,210513,3.083200082,3.104600057,2.530300006,1.851700053,0.932399973
K031,mock,3to1,100ug,spike,210513,2.991299972,2.724000081,2.245499954,1.493999943,0.915400013
K033,mock,3to1,100ug,spike,210513,3.097000055,3.169599943,2.355299883,2.107700042,1.423399977
K040,mock,3to1,100ug,spike,210513,3.337400071,2.844200008,2.516100042,1.960199945,1.092599981
K041,mock,3to1,100ug,spike,210513,3.265700094,3.119299881,2.592799895,1.863000028,1.073699944
K046,mock,3to1,100ug,spike,210513,3.350199908,2.916300029,2.35890004,1.529100031,0.673400015
K114,mock,3to1,100ug,spike,210513,3.44639992,2.993900053,2.644099943,1.774999969,0.871999972
K119,mock,3to1,100ug,spike,210513,3.335299961,2.742099993,2.04830002,1.104699962,0.477100007
K007,3x depleted,3to1,100ug,spike,210513,3.197099917,2.977499954,1.856600039,1.106700055,0.506799988
K031,3x depleted,3to1,100ug,spike,210513,2.635200053,2.399999887,1.878999978,0.786500007,0.387400001
K033,3x depleted,3to1,100ug,spike,210513,3.015799992,2.622600071,2.339900009,1.497599952,0.708400004
K040,3x depleted,3to1,100ug,spike,210513,3.085299928,2.704299886,2.049900014,1.255600054,0.507500011
K041,3x depleted,3to1,100ug,spike,210513,3.18370004,2.859199956,2.225500062,1.310700014,0.559600011
K046,3x depleted,3to1,100ug,spike,210513,2.901399896,2.51169996,1.744100019,0.828999981,0.340399995
K114,3x depleted,3to1,100ug,spike,210513,3.374900103,3.061500072,2.285200119,1.399000049,0.763199985
K119,3x depleted,3to1,100ug,spike,210513,2.602899991,2.270899974,1.543199979,0.66389998,0.241699986
