Date_Read,Plate,Sample,SampleNum,Virus,PlateLayout,StartDil,DilFactor
210820,Plate1,K041,1,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate1,K046,2,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate1,K114,3,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate1,K119,4,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate2,K041,1,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate2,K046,2,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate2,K114,3,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate2,K119,4,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate3,K041,1,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate3,K046,2,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate3,K114,3,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate3,K119,4,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate4,K041,1,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate4,K046,2,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate4,K114,3,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate4,K119,4,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate5,K041,1,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate5,K046,2,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate5,K114,3,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate5,K119,4,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate6,K041,1,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate6,K046,2,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate6,K114,3,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate6,K119,4,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate7,K041,1,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate7,K046,2,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate7,K114,3,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate7,K119,4,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate8,K041,1,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate8,K046,2,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate8,K114,3,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate8,K119,4,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate9,K041,1,B.1.351,layout1.csv,0.04,3
210820,Plate9,K046,2,B.1.351,layout1.csv,0.04,3
210820,Plate9,K114,3,B.1.351,layout1.csv,0.04,3
210820,Plate9,K119,4,B.1.351,layout1.csv,0.04,3
