serum,virus,replicate,concentration,fraction infectivity,date
M03-day-119,wildtype,1,0.04,-6.798e-06,2021-03-08
M03-day-119,wildtype,1,0.01333,0.004015,2021-03-08
M03-day-119,wildtype,1,0.004444,0.05302,2021-03-08
M03-day-119,wildtype,1,0.001481,0.2166,2021-03-08
M03-day-119,wildtype,1,0.0004938,0.523,2021-03-08
M03-day-119,wildtype,1,0.0001646,0.7756,2021-03-08
M03-day-119,wildtype,1,5.487e-05,0.8687,2021-03-08
M03-day-119,wildtype,1,1.829e-05,0.8987,2021-03-08
M03-day-119,wildtype,2,0.04,-6.798e-06,2021-03-08
M03-day-119,wildtype,2,0.01333,-6.904e-06,2021-03-08
M03-day-119,wildtype,2,0.004444,0.07826,2021-03-08
M03-day-119,wildtype,2,0.001481,0.2842,2021-03-08
M03-day-119,wildtype,2,0.0004938,0.5982,2021-03-08
M03-day-119,wildtype,2,0.0001646,0.7974,2021-03-08
M03-day-119,wildtype,2,5.487e-05,0.9575,2021-03-08
M03-day-119,wildtype,2,1.829e-05,1.026,2021-03-08
M05-day-119,wildtype,1,0.04,-1.02e-05,2021-03-08
M05-day-119,wildtype,1,0.01333,0.004564,2021-03-08
M05-day-119,wildtype,1,0.004444,0.02752,2021-03-08
M05-day-119,wildtype,1,0.001481,0.2316,2021-03-08
M05-day-119,wildtype,1,0.0004938,0.6166,2021-03-08
M05-day-119,wildtype,1,0.0001646,0.8294,2021-03-08
M05-day-119,wildtype,1,5.487e-05,0.7928,2021-03-08
M05-day-119,wildtype,1,1.829e-05,0.9298,2021-03-08
M05-day-119,wildtype,2,0.04,1.7e-06,2021-03-08
M05-day-119,wildtype,2,0.01333,-8.63e-06,2021-03-08
M05-day-119,wildtype,2,0.004444,0.03974,2021-03-08
M05-day-119,wildtype,2,0.001481,0.2252,2021-03-08
M05-day-119,wildtype,2,0.0004938,0.533,2021-03-08
M05-day-119,wildtype,2,0.0001646,0.8669,2021-03-08
M05-day-119,wildtype,2,5.487e-05,0.785,2021-03-08
M05-day-119,wildtype,2,1.829e-05,0.9531,2021-03-08
M06-day-119,wildtype,1,0.04,8.498e-06,2021-03-08
M06-day-119,wildtype,1,0.01333,0.00493,2021-03-08
M06-day-119,wildtype,1,0.004444,0.07049,2021-03-08
M06-day-119,wildtype,1,0.001481,0.3921,2021-03-08
M06-day-119,wildtype,1,0.0004938,0.5821,2021-03-08
M06-day-119,wildtype,1,0.0001646,0.74,2021-03-08
M06-day-119,wildtype,1,5.487e-05,0.8804,2021-03-08
M06-day-119,wildtype,1,1.829e-05,1.116,2021-03-08
M06-day-119,wildtype,2,0.04,1.7e-06,2021-03-08
M06-day-119,wildtype,2,0.01333,0.006169,2021-03-08
M06-day-119,wildtype,2,0.004444,0.07893,2021-03-08
M06-day-119,wildtype,2,0.001481,0.33,2021-03-08
M06-day-119,wildtype,2,0.0004938,0.6228,2021-03-08
M06-day-119,wildtype,2,0.0001646,0.7152,2021-03-08
M06-day-119,wildtype,2,5.487e-05,0.8071,2021-03-08
M06-day-119,wildtype,2,1.829e-05,1.126,2021-03-08
M11-day-119,wildtype,1,0.04,-1.19e-05,2021-03-08
M11-day-119,wildtype,1,0.01333,-6.904e-06,2021-03-08
M11-day-119,wildtype,1,0.004444,0.0121,2021-03-08
M11-day-119,wildtype,1,0.001481,0.2776,2021-03-08
M11-day-119,wildtype,1,0.0004938,0.437,2021-03-08
M11-day-119,wildtype,1,0.0001646,0.9004,2021-03-08
M11-day-119,wildtype,1,5.487e-05,0.7427,2021-03-08
M11-day-119,wildtype,1,1.829e-05,0.974,2021-03-08
M11-day-119,wildtype,2,0.04,-6.798e-06,2021-03-08
M11-day-119,wildtype,2,0.01333,0.002378,2021-03-08
M11-day-119,wildtype,2,0.004444,0.03627,2021-03-08
M11-day-119,wildtype,2,0.001481,0.2293,2021-03-08
M11-day-119,wildtype,2,0.0004938,0.5552,2021-03-08
M11-day-119,wildtype,2,0.0001646,0.8928,2021-03-08
M11-day-119,wildtype,2,5.487e-05,0.8955,2021-03-08
M11-day-119,wildtype,2,1.829e-05,1.011,2021-03-08
M12-day-119,wildtype,1,0.04,-6.022e-06,2021-03-08
M12-day-119,wildtype,1,0.01333,1.094e-06,2021-03-08
M12-day-119,wildtype,1,0.004444,0.02747,2021-03-08
M12-day-119,wildtype,1,0.001481,0.1717,2021-03-08
M12-day-119,wildtype,1,0.0004938,0.5354,2021-03-08
M12-day-119,wildtype,1,0.0001646,0.8159,2021-03-08
M12-day-119,wildtype,1,5.487e-05,0.9443,2021-03-08
M12-day-119,wildtype,1,1.829e-05,1.105,2021-03-08
M12-day-119,wildtype,2,0.04,-1.316e-05,2021-03-08
M12-day-119,wildtype,2,0.01333,6.345e-06,2021-03-08
M12-day-119,wildtype,2,0.004444,0.05171,2021-03-08
M12-day-119,wildtype,2,0.001481,0.1759,2021-03-08
M12-day-119,wildtype,2,0.0004938,0.565,2021-03-08
M12-day-119,wildtype,2,0.0001646,0.6919,2021-03-08
M12-day-119,wildtype,2,5.487e-05,0.9072,2021-03-08
M12-day-119,wildtype,2,1.829e-05,1.047,2021-03-08
M14-day-119,wildtype,1,0.04,-6.691e-07,2021-03-08
M14-day-119,wildtype,1,0.01333,-7.657e-06,2021-03-08
M14-day-119,wildtype,1,0.004444,0.004321,2021-03-08
M14-day-119,wildtype,1,0.001481,0.1203,2021-03-08
M14-day-119,wildtype,1,0.0004938,0.4375,2021-03-08
M14-day-119,wildtype,1,0.0001646,0.842,2021-03-08
M14-day-119,wildtype,1,5.487e-05,0.8609,2021-03-08
M14-day-119,wildtype,1,1.829e-05,1.096,2021-03-08
M14-day-119,wildtype,2,0.04,-7.806e-06,2021-03-08
M14-day-119,wildtype,2,0.01333,-5.907e-06,2021-03-08
M14-day-119,wildtype,2,0.004444,0.003866,2021-03-08
M14-day-119,wildtype,2,0.001481,0.08929,2021-03-08
M14-day-119,wildtype,2,0.0004938,0.4957,2021-03-08
M14-day-119,wildtype,2,0.0001646,0.5879,2021-03-08
M14-day-119,wildtype,2,5.487e-05,0.8634,2021-03-08
M14-day-119,wildtype,2,1.829e-05,0.9303,2021-03-08
23_d120,wildtype,1,0.04,4.683e-06,2021-03-08
23_d120,wildtype,1,0.01333,0.01146,2021-03-08
23_d120,wildtype,1,0.004444,0.05363,2021-03-08
23_d120,wildtype,1,0.001481,0.3864,2021-03-08
23_d120,wildtype,1,0.0004938,0.6546,2021-03-08
23_d120,wildtype,1,0.0001646,0.7689,2021-03-08
23_d120,wildtype,1,5.487e-05,0.9368,2021-03-08
23_d120,wildtype,1,1.829e-05,0.8964,2021-03-08
23_d120,wildtype,2,0.04,-6.022e-06,2021-03-08
23_d120,wildtype,2,0.01333,0.01745,2021-03-08
23_d120,wildtype,2,0.004444,0.06934,2021-03-08
23_d120,wildtype,2,0.001481,0.3565,2021-03-08
