plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date
2984,rep1,B.1.351-G446V,0.1,10,506085,210816
2984,rep1,B.1.351-G446V,0.05,5,170951,210816
2984,rep1,B.1.351-G446V,0.025,2.5,102446,210816
2984,rep1,B.1.351-G446V,0.0125,1.25,43835,210816
2984,rep1,B.1.351-G446V,0.00625,0.625,24680,210816
2984,rep1,B.1.351-G446V,0.003125,0.3125,6165,210816
2984,rep1,B.1.351-G446V,0.0015625,0.15625,4107,210816
2984,rep1,B.1.351-G446V,0.00078125,0.078125,8480,210816
2984,rep2,B.1.351-G446V,0.1,10,305083,210816
2984,rep2,B.1.351-G446V,0.05,5,107857,210816
2984,rep2,B.1.351-G446V,0.025,2.5,59875,210816
2984,rep2,B.1.351-G446V,0.0125,1.25,17075,210816
2984,rep2,B.1.351-G446V,0.00625,0.625,21410,210816
2984,rep2,B.1.351-G446V,0.003125,0.3125,265,210816
2984,rep2,B.1.351-G446V,0.0015625,0.15625,713,210816
2984,rep2,B.1.351-G446V,0.00078125,0.078125,11,210816
2985,rep1,B.1.351-L452R,0.1,10,3843720,210816
2985,rep1,B.1.351-L452R,0.05,5,1058893,210816
2985,rep1,B.1.351-L452R,0.025,2.5,413076,210816
2985,rep1,B.1.351-L452R,0.0125,1.25,177553,210816
2985,rep1,B.1.351-L452R,0.00625,0.625,81725,210816
2985,rep1,B.1.351-L452R,0.003125,0.3125,44133,210816
2985,rep1,B.1.351-L452R,0.0015625,0.15625,9480,210816
2985,rep1,B.1.351-L452R,0.00078125,0.078125,22643,210816
2985,rep2,B.1.351-L452R,0.1,10,3288893,210816
2985,rep2,B.1.351-L452R,0.05,5,831066,210816
2985,rep2,B.1.351-L452R,0.025,2.5,379382,210816
2985,rep2,B.1.351-L452R,0.0125,1.25,147723,210816
2985,rep2,B.1.351-L452R,0.00625,0.625,87638,210816
2985,rep2,B.1.351-L452R,0.003125,0.3125,15058,210816
2985,rep2,B.1.351-L452R,0.0015625,0.15625,30468,210816
2985,rep2,B.1.351-L452R,0.00078125,0.078125,7184,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.1,10,2789477,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.05,5,893090,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.025,2.5,376950,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.0125,1.25,188802,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.00625,0.625,98761,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.003125,0.3125,36874,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.0015625,0.15625,21982,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.00078125,0.078125,5823,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.1,10,3049629,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.05,5,1024140,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.025,2.5,457266,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.0125,1.25,211951,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.00625,0.625,70108,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.003125,0.3125,42469,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.0015625,0.15625,27229,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.00078125,0.078125,4390,210816
3161,rep1,B.1.351-N417K,0.1,10,1508976,210816
3161,rep1,B.1.351-N417K,0.05,5,570315,210816
3161,rep1,B.1.351-N417K,0.025,2.5,230301,210816
3161,rep1,B.1.351-N417K,0.0125,1.25,121650,210816
3161,rep1,B.1.351-N417K,0.00625,0.625,35878,210816
3161,rep1,B.1.351-N417K,0.003125,0.3125,32139,210816
3161,rep1,B.1.351-N417K,0.0015625,0.15625,13840,210816
3161,rep1,B.1.351-N417K,0.00078125,0.078125,4214,210816
3161,rep2,B.1.351-N417K,0.1,10,1794300,210816
3161,rep2,B.1.351-N417K,0.05,5,578067,210816
3161,rep2,B.1.351-N417K,0.025,2.5,268756,210816
