,serum,virus,replicate,concentration,fraction infectivity
0,K007,B.1.351,1,0.04,-4.698e-07
1,K007,B.1.351,1,0.01333,-6.687e-07
2,K007,B.1.351,1,0.004444,0.0258
3,K007,B.1.351,1,0.001481,0.1654
4,K007,B.1.351,1,0.0004938,0.4919
5,K007,B.1.351,1,0.0001646,0.7007
6,K007,B.1.351,1,5.487e-05,0.7983
7,K007,B.1.351,1,1.829e-05,0.8366
8,K007,B.1.351,2,0.04,-4.698e-07
9,K007,B.1.351,2,0.01333,0.0006627
10,K007,B.1.351,2,0.004444,0.00674
11,K007,B.1.351,2,0.001481,0.1471
12,K007,B.1.351,2,0.0004938,0.4206
13,K007,B.1.351,2,0.0001646,0.8653
14,K007,B.1.351,2,5.487e-05,0.8266
15,K007,B.1.351,2,1.829e-05,0.8721
16,K031,B.1.351,1,0.04,0.01266
17,K031,B.1.351,1,0.01333,0.005798
18,K031,B.1.351,1,0.004444,0.03107
19,K031,B.1.351,1,0.001481,0.1581
20,K031,B.1.351,1,0.0004938,0.507
21,K031,B.1.351,1,0.0001646,0.7679
22,K031,B.1.351,1,5.487e-05,0.7408
23,K031,B.1.351,1,1.829e-05,0.756
24,K031,B.1.351,2,0.04,1.832e-05
25,K031,B.1.351,2,0.01333,0.001208
26,K031,B.1.351,2,0.004444,0.0617
27,K031,B.1.351,2,0.001481,0.03532
28,K031,B.1.351,2,0.0004938,0.3962
29,K031,B.1.351,2,0.0001646,0.7895
30,K031,B.1.351,2,5.487e-05,0.7972
31,K031,B.1.351,2,1.829e-05,0.8122
32,K033,B.1.351,1,0.04,1.832e-05
33,K033,B.1.351,1,0.01333,3.678e-05
34,K033,B.1.351,1,0.004444,7.865e-05
35,K033,B.1.351,1,0.001481,0.0548
36,K033,B.1.351,1,0.0004938,0.3213
37,K033,B.1.351,1,0.0001646,0.6077
38,K033,B.1.351,1,5.487e-05,0.7914
39,K033,B.1.351,1,1.829e-05,0.7749
40,K033,B.1.351,2,0.04,-4.698e-07
41,K033,B.1.351,2,0.01333,0.01343
42,K033,B.1.351,2,0.004444,0.02718
43,K033,B.1.351,2,0.001481,0.06042
44,K033,B.1.351,2,0.0004938,0.3174
45,K033,B.1.351,2,0.0001646,0.6742
46,K033,B.1.351,2,5.487e-05,0.7393
47,K033,B.1.351,2,1.829e-05,0.8699
48,K040,B.1.351,1,0.04,-4.698e-07
49,K040,B.1.351,1,0.01333,-6.687e-07
50,K040,B.1.351,1,0.004444,0.001538
51,K040,B.1.351,1,0.001481,0.1004
52,K040,B.1.351,1,0.0004938,0.4564
53,K040,B.1.351,1,0.0001646,0.7019
54,K040,B.1.351,1,5.487e-05,0.9414
55,K040,B.1.351,1,1.829e-05,0.749
56,K040,B.1.351,2,0.04,-4.698e-07
57,K040,B.1.351,2,0.01333,-2.207e-05
58,K040,B.1.351,2,0.004444,-6.609e-07
59,K040,B.1.351,2,0.001481,0.09114
60,K040,B.1.351,2,0.0004938,0.5939
61,K040,B.1.351,2,0.0001646,0.7474
62,K040,B.1.351,2,5.487e-05,0.7228
63,K040,B.1.351,2,1.829e-05,0.7387
64,K007,B.1.351-Y501N,1,0.04,5.491e-06
65,K007,B.1.351-Y501N,1,0.01333,-3.272e-06
66,K007,B.1.351-Y501N,1,0.004444,0.008252
67,K007,B.1.351-Y501N,1,0.001481,0.1706
68,K007,B.1.351-Y501N,1,0.0004938,0.6168
69,K007,B.1.351-Y501N,1,0.0001646,0.8751
70,K007,B.1.351-Y501N,1,5.487e-05,1.053
71,K007,B.1.351-Y501N,1,1.829e-05,0.7447
72,K007,B.1.351-Y501N,2,0.04,2.746e-06
73,K007,B.1.351-Y501N,2,0.01333,3.272e-06
74,K007,B.1.351-Y501N,2,0.004444,0.005152
75,K007,B.1.351-Y501N,2,0.001481,0.08283
76,K007,B.1.351-Y501N,2,0.0004938,0.542
77,K007,B.1.351-Y501N,2,0.0001646,0.945
78,K007,B.1.351-Y501N,2,5.487e-05,1.048
79,K007,B.1.351-Y501N,2,1.829e-05,0.9077
80,K031,B.1.351-Y501N,1,0.04,2.746e-06
81,K031,B.1.351-Y501N,1,0.01333,0.002235
82,K031,B.1.351-Y501N,1,0.004444,0.06974
83,K031,B.1.351-Y501N,1,0.001481,0.3436
84,K031,B.1.351-Y501N,1,0.0004938,0.6542
85,K031,B.1.351-Y501N,1,0.0001646,0.8668
86,K031,B.1.351-Y501N,1,5.487e-05,1.001
87,K031,B.1.351-Y501N,1,1.829e-05,0.698
88,K031,B.1.351-Y501N,2,0.04,-2.746e-06
89,K031,B.1.351-Y501N,2,0.01333,0.01069
90,K031,B.1.351-Y501N,2,0.004444,0.06978
91,K031,B.1.351-Y501N,2,0.001481,0.34
92,K031,B.1.351-Y501N,2,0.0004938,0.6734
93,K031,B.1.351-Y501N,2,0.0001646,0.9301
94,K031,B.1.351-Y501N,2,5.487e-05,0.8706
95,K031,B.1.351-Y501N,2,1.829e-05,0.8156
96,K033,B.1.351-Y501N,1,0.04,1.373e-05
97,K033,B.1.351-Y501N,1,0.01333,0.0004254
98,K033,B.1.351-Y501N,1,0.004444,0.01654
99,K033,B.1.351-Y501N,1,0.001481,0.0693
100,K033,B.1.351-Y501N,1,0.0004938,0.4158
101,K033,B.1.351-Y501N,1,0.0001646,0.7016
102,K033,B.1.351-Y501N,1,5.487e-05,0.724
103,K033,B.1.351-Y501N,1,1.829e-05,0.7031
104,K033,B.1.351-Y501N,2,0.04,5.491e-06
105,K033,B.1.351-Y501N,2,0.01333,1.636e-05
106,K033,B.1.351-Y501N,2,0.004444,0.005726
107,K033,B.1.351-Y501N,2,0.001481,0.08463
108,K033,B.1.351-Y501N,2,0.0004938,0.3627
109,K033,B.1.351-Y501N,2,0.0001646,0.6938
110,K033,B.1.351-Y501N,2,5.487e-05,0.9076
111,K033,B.1.351-Y501N,2,1.829e-05,0.7142
112,K040,B.1.351-Y501N,1,0.04,0
113,K040,B.1.351-Y501N,1,0.01333,0.0002225
114,K040,B.1.351-Y501N,1,0.004444,0.0404
115,K040,B.1.351-Y501N,1,0.001481,0.1355
116,K040,B.1.351-Y501N,1,0.0004938,0.6179
117,K040,B.1.351-Y501N,1,0.0001646,0.6737
118,K040,B.1.351-Y501N,1,5.487e-05,0.8103
119,K040,B.1.351-Y501N,1,1.829e-05,0.7757
