Date_Read,Plate,Sample,SampleNum,Virus,PlateLayout,StartDil,DilFactor
210820,Plate1,K007,1,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate1,K031,2,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate1,K033,3,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate1,K040,4,B.1.351-G446V,layout1.csv,0.04,3
210820,Plate2,K007,1,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate2,K031,2,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate2,K033,3,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate2,K040,4,B.1.351-K444E,layout1.csv,0.04,3
210820,Plate3,K007,1,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate3,K031,2,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate3,K033,3,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate3,K040,4,B.1.351-K484E,layout1.csv,0.04,3
210820,Plate4,K007,1,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate4,K031,2,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate4,K033,3,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate4,K040,4,B.1.351-K484Q,layout1.csv,0.04,3
210820,Plate5,K007,1,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate5,K031,2,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate5,K033,3,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate5,K040,4,B.1.351-L452R,layout1.csv,0.04,3
210820,Plate6,K007,1,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate6,K031,2,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate6,K033,3,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate6,K040,4,B.1.351-N417K,layout1.csv,0.04,3
210820,Plate7,K007,1,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate7,K031,2,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate7,K033,3,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate7,K040,4,B.1.351-N417K-K484E-Y501N,layout1.csv,0.04,3
210820,Plate8,K007,1,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate8,K031,2,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate8,K033,3,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate8,K040,4,B.1.351-Y501N,layout1.csv,0.04,3
210820,Plate9,K007,1,B.1.351,layout1.csv,0.04,3
210820,Plate9,K031,2,B.1.351,layout1.csv,0.04,3
210820,Plate9,K033,3,B.1.351,layout1.csv,0.04,3
210820,Plate9,K040,4,B.1.351,layout1.csv,0.04,3
